algorithm,n,C,value,time_ms
brute,10,10000,5108.90,0.00
brute,10,100000,5108.90,0.00
brute,10,1000000,5108.90,0.00
brute,20,10000,10788.69,72.00
brute,20,100000,10788.69,72.00
brute,20,1000000,10788.69,74.00
brute,30,10000,17386.82,90254.00
brute,30,100000,17386.82,90190.00
brute,30,1000000,17386.82,90216.00
dp,10,10000,5108.90,0.00
dp,10,100000,5108.90,3.00
dp,10,1000000,5108.90,43.00
dp,20,10000,10788.69,1.00
dp,20,100000,10788.69,7.00
dp,20,1000000,10788.69,79.00
dp,30,10000,17386.82,2.00
dp,30,100000,17386.82,11.00
dp,30,1000000,17386.82,118.00
dp,50,10000,30080.10,2.00
dp,50,100000,30080.10,20.00
dp,50,1000000,30080.10,193.00
dp,100,10000,52044.87,5.00
dp,100,100000,52044.87,39.00
dp,100,1000000,52044.87,391.00
dp,500,10000,195149.96,16.00
dp,500,100000,271660.35,190.00
dp,500,1000000,271660.35,1934.00
dp,1000,10000,260503.44,32.00
dp,1000,100000,545483.05,368.00
dp,1000,1000000,545483.05,3815.00
dp,2000,10000,381131.95,60.00
dp,2000,100000,1094366.32,714.00
dp,2000,1000000,1094366.32,7594.00
dp,5000,10000,585572.08,132.00
dp,5000,100000,1895404.51,1623.00
dp,5000,1000000,2730333.12,18709.00
dp,10000,10000,854859.07,252.00
dp,10000,100000,2700673.67,3004.00
dp,10000,1000000,5495877.27,36722.00
dp,20000,10000,1164808.21,487.00
dp,20000,100000,3814386.88,5594.00
dp,20000,1000000,10958458.70,70432.00
dp,40000,10000,1602364.36,962.00
dp,40000,100000,5324760.21,10601.00
dp,40000,1000000,16975051.54,131470.00
dp,80000,10000,2189821.40,1899.00
dp,80000,100000,7409182.60,20335.00
dp,80000,1000000,24015334.15,244531.00
greedy,10,10000,5108.90,0.00
greedy,10,100000,5108.90,0.00
greedy,10,1000000,5108.90,0.00
greedy,20,10000,10788.69,0.00
greedy,20,100000,10788.69,0.00
greedy,20,1000000,10788.69,0.00
greedy,30,10000,17386.82,0.00
greedy,30,100000,17386.82,0.00
greedy,30,1000000,17386.82,0.00
greedy,50,10000,30080.10,0.00
greedy,50,100000,30080.10,0.00
greedy,50,1000000,30080.10,0.00
greedy,100,10000,52044.87,0.00
greedy,100,100000,52044.87,0.00
greedy,100,1000000,52044.87,0.00
greedy,500,10000,195141.99,0.00
greedy,500,100000,271660.35,0.00
greedy,500,1000000,271660.35,0.00
greedy,1000,10000,260499.12,0.00
greedy,1000,100000,545483.05,0.00
greedy,1000,1000000,545483.05,0.00
greedy,2000,10000,381097.16,0.00
greedy,2000,100000,1094366.32,0.00
greedy,2000,1000000,1094366.32,0.00
greedy,5000,10000,585558.82,1.00
greedy,5000,100000,1895327.82,0.00
greedy,5000,1000000,2730333.12,1.00
greedy,10000,10000,854858.67,1.00
greedy,10000,100000,2700646.08,2.00
greedy,10000,1000000,5495877.27,1.00
greedy,20000,10000,1164743.69,5.00
greedy,20000,100000,3814347.28,3.00
greedy,20000,1000000,10958445.82,4.00
greedy,40000,10000,1602364.36,8.00
greedy,40000,100000,5324732.50,8.00
greedy,40000,1000000,16975035.41,8.00
greedy,80000,10000,2189820.52,17.00
greedy,80000,100000,7409144.28,17.00
greedy,80000,1000000,24015333.60,20.00
backtrack,10,10000,5108.90,0.00
backtrack,10,100000,5108.90,0.00
backtrack,10,1000000,5108.90,0.00
backtrack,20,10000,10788.69,4.00
backtrack,20,100000,10788.69,4.00
backtrack,20,1000000,10788.69,4.00
backtrack,30,10000,17386.82,4691.00
backtrack,30,100000,17386.82,4628.00
backtrack,30,1000000,17386.82,4695.00
